iter	Passed	Remaining
837	1775	343
838	1777	341
839	1779	338
840	1781	336
841	1783	334
842	1784	332
843	1786	330
844	1788	328
845	1790	325
846	1792	323
847	1794	321
848	1796	319
849	1798	317
850	1800	315
851	1802	313
852	1804	310
853	1805	308
854	1807	306
855	1809	304
856	1811	302
857	1813	300
858	1815	298
859	1817	295
860	1819	293
861	1821	291
862	1823	289
863	1825	287
864	1827	285
865	1829	283
866	1831	280
867	1833	278
868	1835	276
869	1837	274
870	1839	272
871	1841	270
872	1843	268
873	1845	266
874	1847	263
875	1849	261
876	1851	259
877	1853	257
878	1856	255
879	1858	253
880	1860	251
881	1862	249
882	1864	246
883	1865	244
884	1867	242
885	1869	240
886	1871	238
887	1873	236
888	1875	234
889	1876	231
890	1878	229
891	1881	227
892	1883	225
893	1885	223
894	1887	221
895	1888	219
896	1890	217
897	1892	214
898	1894	212
899	1896	210
900	1899	208
901	1901	206
902	1904	204
903	1905	202
904	1907	200
905	1909	198
906	1911	196
907	1913	193
908	1915	191
909	1917	189
910	1919	187
911	1920	185
912	1922	183
913	1924	181
914	1926	178
915	1928	176
916	1930	174
917	1932	172
918	1934	170
919	1936	168
920	1938	166
921	1940	164
922	1942	162
923	1944	159
924	1946	157
925	1949	155
926	1951	153
927	1952	151
928	1955	149
929	1956	147
930	1958	145
931	1961	143
932	1963	140
933	1965	138
934	1967	136
935	1969	134
936	1971	132
937	1973	130
938	1975	128
939	1977	126
940	1979	124
941	1982	122
942	1984	119
943	1986	117
944	1987	115
945	1989	113
946	1991	111
947	1993	109
948	1996	107
949	1997	105
950	1999	103
951	2001	100
952	2003	98
953	2005	96
954	2007	94
955	2009	92
956	2011	90
957	2012	88
958	2014	86
959	2016	84
960	2019	81
961	2020	79
962	2023	77
963	2025	75
964	2027	73
965	2029	71
966	2031	69
967	2033	67
968	2034	65
969	2036	62
970	2038	60
971	2040	58
972	2042	56
973	2044	54
974	2045	52
975	2047	50
976	2049	48
977	2051	46
978	2053	44
979	2055	41
980	2056	39
981	2058	37
982	2060	35
983	2062	33
984	2064	31
985	2066	29
986	2067	27
987	2069	25
988	2071	23
989	2073	20
990	2075	18
991	2077	16
992	2079	14
993	2080	12
994	2082	10
995	2084	8
996	2086	6
997	2088	4
998	2090	2
999	2092	0
